Time,#Frame,Speed_X,Speed_Y,Speed_Z,Speed_Mag,Angular_Speed_X,Angular_Speed_Y,Angular_Speed_Z,Angular_Speed_Mag,Center_of_mass_X,Center_of_mass_Y,Center_of_mass_Z,
04-27-06-682, 1189, 0, 0, 0.2782822, 0.2782822,0, 0, 0, 0, 0, 0, 0
04-27-06-712, 1190, 0, 0, 0.1755714, 0.1755714,0, 0, 0, 0, 0, 0, 0
04-27-06-738, 1191, 0, 0, 0.1729965, 0.1729965,0, 0, 0, 0, 0, 0, 0
04-27-06-773, 1192, 0, 0, 0.229454, 0.229454,0, 0, 0, 0, 0, 0, 0
04-27-06-802, 1193, 0, 0, 0.31147, 0.31147,0, 0, 0, 0, 0, 0, 0
04-27-06-828, 1194, 0, 0, 0.1795769, 0.1795769,0, 0, 0, 0, 0, 0, 0
04-27-06-859, 1195, 0, 0, 0.1392365, 0.1392365,0, 0, 0, 0, 0, 0, 0
04-27-06-890, 1196, 0, 0, 0.313282, 0.313282,0, 0, 0, 0, 0, 0, 0
04-27-06-923, 1197, 0, 0, 0.2406597, 0.2406597,0, 0, 0, 0, 0, 0, 0
04-27-06-958, 1198, 0, 0, 0.1812458, 0.1812458,0, 0, 0, 0, 0, 0, 0
04-27-06-991, 1199, 0, 0, 0.254488, 0.254488,0, 0, 0, 0, 0, 0, 0
04-27-07-029, 1200, 0, 0, 0.2989769, 0.2989769,0, 0, 0, 0, 0, 0, 0
04-27-07-059, 1201, 0, 0, 0.1606941, 0.1606941,0, 0, 0, 0, 0, 0, 0
04-27-07-099, 1202, 0, 0, 0.2227783, 0.2227783,0, 0, 0, 0, 0, 0, 0
04-27-07-132, 1203, 0, 0, 0.2717495, 0.2717495,0, 0, 0, 0, 0, 0, 0
04-27-07-158, 1204, 0, 0, 0.1698017, 0.1698017,0, 0, 0, 0, 0, 0, 0
04-27-07-189, 1205, 0, 0, 0.2315044, 0.2315044,0, 0, 0, 0, 0, 0, 0
04-27-07-221, 1206, 0, 0, 0.304985, 0.304985,0, 0, 0, 0, 0, 0, 0
04-27-07-254, 1207, 0, 0, 0.218153, 0.218153,0, 0, 0, 0, 0, 0, 0
04-27-07-282, 1208, 0, 0, 0.2285004, 0.2285004,0, 0, 0, 0, 0, 0, 0
04-27-07-314, 1209, 0, 0, 0.255394, 0.255394,0, 0, 0, 0, 0, 0, 0
04-27-07-336, 1210, 0, 0, 0.2714157, 0.2714157,0, 0, 0, 0, 0, 0, 0
04-27-07-359, 1211, 0, 0, 0.1737595, 0.1737595,0, 0, 0, 0, 0, 0, 0
04-27-07-391, 1212, 0, 0, 0.2427578, 0.2427578,0, 0, 0, 0, 0, 0, 0
04-27-07-424, 1213, 0, 0, 0.2228737, 0.2228737,0, 0, 0, 0, 0, 0, 0
04-27-07-459, 1214, 0, 0, 0.1778603, 0.1778603,0, 0, 0, 0, 0, 0, 0
04-27-07-491, 1215, 0, 0, 0.2252102, 0.2252102,0, 0, 0, 0, 0, 0, 0
04-27-07-522, 1216, 0, 0, 0.310564, 0.310564,0, 0, 0, 0, 0, 0, 0
04-27-07-551, 1217, 0, 0, 0.1676083, 0.1676083,0, 0, 0, 0, 0, 0, 0
04-27-07-578, 1218, 0, 0, 0.1917362, 0.1917362,0, 0, 0, 0, 0, 0, 0
04-27-07-604, 1219, 0, 0, 0.2558231, 0.2558231,0, 0, 0, 0, 0, 0, 0
04-27-07-644, 1220, 0, 0, 0.2845764, 0.2845764,0, 0, 0, 0, 0, 0, 0
04-27-07-676, 1221, 0, 0, 0.2719402, 0.2719402,0, 0, 0, 0, 0, 0, 0
04-27-07-703, 1222, 0, 0, 0.1673222, 0.1673222,0, 0, 0, 0, 0, 0, 0
04-27-07-738, 1223, 0, 0, 0.2260685, 0.2260685,0, 0, 0, 0, 0, 0, 0
04-27-07-768, 1224, 0, 0, 0.2254486, 0.2254486,0, 0, 0, 0, 0, 0, 0
04-27-07-799, 1225, 0, 0, 0.1659393, 0.1659393,0, 0, 0, 0, 0, 0, 0
04-27-07-829, 1226, 0, 0, 0.3014088, 0.3014088,0, 0, 0, 0, 0, 0, 0
04-27-07-860, 1227, 0, 0, 0.1743317, 0.1743317,0, 0, 0, 0, 0, 0, 0
04-27-07-899, 1228, 0, 0, 0.2409458, 0.2409458,0, 0, 0, 0, 0, 0, 0
04-27-07-924, 1229, 0, 0, 0.2260208, 0.2260208,0, 0, 0, 0, 0, 0, 0
04-27-07-956, 1230, 0, 0, 0.1769543, 0.1769543,0, 0, 0, 0, 0, 0, 0
04-27-07-979, 1231, 0, 0, 0.1657963, 0.1657963,0, 0, 0, 0, 0, 0, 0
04-27-08-014, 1232, 0, 0, 0.2906322, 0.2906322,0, 0, 0, 0, 0, 0, 0
04-27-08-040, 1233, 0, 0, 0.1704216, 0.1704216,0, 0, 0, 0, 0, 0, 0
04-27-08-069, 1234, 0, 0, 0.1932621, 0.1932621,0, 0, 0, 0, 0, 0, 0
04-27-08-099, 1235, 0, 0, 0.2205372, 0.2205372,0, 0, 0, 0, 0, 0, 0
04-27-08-132, 1236, 0, 0, 0.2631664, 0.2631664,0, 0, 0, 0, 0, 0, 0
04-27-08-171, 1237, 0, 0, 0.2641678, 0.2641678,0, 0, 0, 0, 0, 0, 0
04-27-08-201, 1238, 0, 0, 0.2639771, 0.2639771,0, 0, 0, 0, 0, 0, 0
04-27-08-232, 1239, 0, 0, 0.2232075, 0.2232075,0, 0, 0, 0, 0, 0, 0
04-27-08-259, 1240, 0, 0, 0.2205849, 0.2205849,0, 0, 0, 0, 0, 0, 0
04-27-08-290, 1241, 0, 0, 0.1657486, 0.1657486,0, 0, 0, 0, 0, 0, 0
04-27-08-321, 1242, 0, 0, 0.2289295, 0.2289295,0, 0, 0, 0, 0, 0, 0
04-27-08-356, 1243, 0, 0, 0.1546383, 0.1546383,0, 0, 0, 0, 0, 0, 0
04-27-08-381, 1244, 0, 0, 0.2645969, 0.2645969,0, 0, 0, 0, 0, 0, 0
04-27-08-404, 1245, 0, 0, 0.206995, 0.206995,0, 0, 0, 0, 0, 0, 0
04-27-08-436, 1246, 0, 0, 0.2008438, 0.2008438,0, 0, 0, 0, 0, 0, 0
04-27-08-461, 1247, 0, 0, 0.1760483, 0.1760483,0, 0, 0, 0, 0, 0, 0
04-27-08-490, 1248, 0, 0, 0.2352715, 0.2352715,0, 0, 0, 0, 0, 0, 0
04-27-08-516, 1249, 0, 0, 0.3003597, 0.3003597,0, 0, 0, 0, 0, 0, 0
04-27-08-540, 1250, 0, 0, 0.1642227, 0.1642227,0, 0, 0, 0, 0, 0, 0
04-27-08-570, 1251, 0, 0, 0.2224445, 0.2224445,0, 0, 0, 0, 0, 0, 0
04-27-08-603, 1252, 0, 0, 0.1804352, 0.1804352,0, 0, 0, 0, 0, 0, 0
04-27-08-637, 1253, 0, 0, 0.2793789, 0.2793789,0, 0, 0, 0, 0, 0, 0
04-27-08-661, 1254, 0, 0, 0.14534, 0.14534,0, 0, 0, 0, 0, 0, 0
04-27-08-689, 1255, 0, 0, 0.2840519, 0.2840519,0, 0, 0, 0, 0, 0, 0
04-27-08-716, 1256, 0, 0, 0.2298355, 0.2298355,0, 0, 0, 0, 0, 0, 0
04-27-08-745, 1257, 0, 0, 0.2133369, 0.2133369,0, 0, 0, 0, 0, 0, 0
04-27-08-770, 1258, 0, 0, 0.164938, 0.164938,0, 0, 0, 0, 0, 0, 0
04-27-08-800, 1259, 0, 0, 0.2637386, 0.2637386,0, 0, 0, 0, 0, 0, 0
04-27-08-832, 1260, 0, 0, 0.167799, 0.167799,0, 0, 0, 0, 0, 0, 0
04-27-08-867, 1261, 0, 0, 0.1654625, 0.1654625,0, 0, 0, 0, 0, 0, 0
04-27-08-899, 1262, 0, 0, 0.2215862, 0.2215862,0, 0, 0, 0, 0, 0, 0
04-27-08-925, 1263, 0, 0, 0.2592564, 0.2592564,0, 0, 0, 0, 0, 0, 0
04-27-08-958, 1264, 0, 0, 0.1646996, 0.1646996,0, 0, 0, 0, 0, 0, 0
04-27-08-992, 1265, 0, 0, 0.2232552, 0.2232552,0, 0, 0, 0, 0, 0, 0
04-27-09-025, 1266, 0, 0, 0.3087997, 0.3087997,0, 0, 0, 0, 0, 0, 0
